,Compound,Date,Negative,Neutral,Positive,Tweet,Tweets Ago,User
0,0.0,Fri Mar 23 19:07:00 +0000 2018,1.0,0.0,0.0,"RT @BBCOne: .@GaryLineker, @OreOduba, @ThisisDavina &amp; more kick off the biggest ever night of #SportRelief now on @bbcone. @sportrelief 
Fo…",1,BBC
1,-0.296,Fri Mar 23 18:03:04 +0000 2018,0.864,0.136,0.0,From @taylorswift13 to @Beyonce: these are the secretive musicians who avoid interviews. 🎤🤐 https://t.co/nqOmaVMzoo https://t.co/sbDga7L5cp,2,BBC
2,0.0,Fri Mar 23 17:33:03 +0000 2018,1.0,0.0,0.0,"Tonight, @GaryLineker, @ThisisDavina and @OreOduba kick off the biggest ever night of @sportrelief! ️⚽️✨🚴🎉… https://t.co/tgbpC76heP",3,BBC
3,0.0,Fri Mar 23 17:02:01 +0000 2018,1.0,0.0,0.0,"Your week, as told by @louistheroux. 📆😂
https://t.co/Ae6bDBpIBW",4,BBC
4,0.0,Fri Mar 23 16:27:45 +0000 2018,1.0,0.0,0.0,"RT @BBCWales: A #DanceForParkinsons session with @ndcwales for @GetCreativeUK in #Cardiff this week 

Find out what’s happening on the fina…",5,BBC
5,0.7783,Fri Mar 23 16:00:12 +0000 2018,0.714,0.0,0.286,"Meet Australian maths teacher Eddie Woo, who has won fans worldwide with his high-energy lessons, posted on YouTube… https://t.co/vTfNDZzA3b",6,BBC
6,-0.4479,Fri Mar 23 14:33:40 +0000 2018,0.828,0.172,0.0,"RT @BBCOne: No @andy_murray, this is not a dream. @GeriHalliwell really IS in your bedroom making you sing Spice Girls songs 🎤

@sportrelie…",7,BBC
7,0.5994,Fri Mar 23 14:03:08 +0000 2018,0.813,0.0,0.187,These beautiful photographs reveal how refugees in Tyneside have turned to the healing powers of gardening. 🌿📸… https://t.co/2gq0t9FnIR,8,BBC
8,-0.4767,Fri Mar 23 14:00:02 +0000 2018,0.871,0.129,0.0,"How would you react if you woke up and found Michael McIntyre and Peppa Pig in your bedroom? 

Poor @AndyMurray…

S… https://t.co/7ZP0hUYeKr",9,BBC
9,0.6114,Fri Mar 23 13:33:04 +0000 2018,0.8,0.0,0.2,Spring is here! 🌱🌸🥦 Make the most of seasonal ingredients with these delicious soup recipes. https://t.co/fXp7eJXoJc https://t.co/hA1b2bdSrd,10,BBC
10,0.4939,Fri Mar 23 13:03:02 +0000 2018,0.741,0.0,0.259,"Want to get creative this weekend? Here's how to make a hooky rug. 
#MakeCraftBritain 
https://t.co/uqibyP09s7",11,BBC
11,0.0,Fri Mar 23 11:42:55 +0000 2018,1.0,0.0,0.0,RT @BBCSport: He was one of English football's first black players and the British Army's first ever black officer to command white troops.…,12,BBC
12,-0.2006,Fri Mar 23 11:42:51 +0000 2018,0.754,0.139,0.107,RT @BBCRadio2: 👻 “I thought the script was really frightening and original.” Martin Freeman chats to @achrisevans about his creepy new film…,13,BBC
13,0.0,Fri Mar 23 11:42:48 +0000 2018,1.0,0.0,0.0,RT @BBCTwo: Our entire weekend plans. 😴👇 #BigCatsAboutTheHouse https://t.co/vl0zUcCdmI,14,BBC
14,0.3612,Fri Mar 23 11:42:43 +0000 2018,0.872,0.0,0.128,"RT @sportrelief: It looks like #TeamGryffindor are storming ahead in the #HogwartsLeague in the #SportRelief app. 

#TeamHufflepuff, #TeamS…",15,BBC
15,0.2648,Fri Mar 23 11:30:05 +0000 2018,0.897,0.0,0.103,☕️🍰Some blueberry muffins sold by cafes and supermarkets contain more than the recommended daily intake of sugar fo… https://t.co/9bh6K8aMH2,16,BBC
16,-0.6016,Fri Mar 23 10:33:01 +0000 2018,0.813,0.187,0.0,"Friday night is CELEBRITY FIGHT NIGHT! 🥊🥊

Who'll be victorious? Tune in to #SportRelief to find out!

https://t.co/9ZhgNGmxOD",17,BBC
17,0.8555,Fri Mar 23 10:03:03 +0000 2018,0.657,0.0,0.343,"Scrolling through headlines, the world can feel like a pretty dark place. So here are nine reasons to be happy. 😊 🎉… https://t.co/KrNoB0qaqC",18,BBC
18,0.765,Fri Mar 23 09:30:03 +0000 2018,0.583,0.0,0.417,"Would you want secret helpers like these to help you out in nerve-wracking situations? #TheSecretHelpers 
https://t.co/ua2X4vxKR3",19,BBC
19,0.0,Fri Mar 23 08:33:01 +0000 2018,1.0,0.0,0.0,"Meet the first polar bear cub to be born in the UK in 25 years. 😍
https://t.co/njq1r6eONE",20,BBC
